Nombre,Tipo,NivelBase,CategoriaGO,EtiquetasGO,esBebe,Region,Ataque Base,Defensa Base,Stamina Base,ScorePvE,ScorePvP_GL,ScorePvP_UL,UsoPrincipal,Contadores,EsRaid,EvolucionaA,EvolucionRecomendada,UsoEvolucionRecomendada,ScoreEvolucionRecomendada,CosteCaramelosEvolucionRecomendada,ObjetosEvolucionRecomendada,fechaActualizacion
Snorunt,hielo,normal,normal,,no,,95,95,137,36,42,38,coleccionable,dragon/volador/planta,no,Glalie/Froslass,Glalie,coleccionable,166,100,,2026-03-30
Glalie,hielo,normal,normal,mega,no,,162,162,190,58,54,54,coleccionable,dragon/volador/planta,no,,,,,,,2026-03-30
Spheal,hielo/agua,normal,normal,sombra,no,,95,90,172,39,45,40,coleccionable,dragon/fuego/volador,no,Sealeo,Walrein,coleccionable,194,125,,2026-03-30
Sealeo,hielo/agua,normal,normal,sombra,no,,137,132,207,53,53,49,coleccionable,dragon/fuego/volador,no,Walrein,Walrein,coleccionable,194,100,,2026-03-30
Walrein,hielo/agua,normal,normal,sombra,no,,182,176,242,68,67,59,coleccionable,dragon/fuego/volador,no,,,,,,,2026-03-30
Clamperl,agua,normal,normal,,no,,133,135,111,43,44,44,coleccionable,fuego/tierra/roca,no,Huntail/Gorebyss,Gorebyss,coleccionable,174,50,,2026-03-30
Huntail,agua,normal,normal,,no,,197,179,146,61,52,57,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Gorebyss,agua,normal,normal,,no,,211,179,146,63,52,59,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Relicanth,agua/roca,normal,normal,regional,no,Nueva Zelanda / Oceanía,162,203,225,65,67,57,coleccionable,bicho/fuego/volador,no,,,,,,,2026-03-30
Luvdisc,agua,normal,normal,,no,,81,128,125,36,45,38,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Bagon,dragon,normal,normal,sombra,no,,134,93,128,42,41,43,coleccionable,dragon,no,Shelgon,Salamence,pve,223,125,,2026-03-30
Shelgon,dragon,normal,normal,sombra,no,,172,155,163,57,51,53,coleccionable,dragon,no,Salamence,Salamence,pve,223,100,,2026-03-30
Salamence,dragon/volador,normal,normal,"mega,sombra",no,,277,168,216,81,71,71,pve,bicho/dragon/lucha,no,,,,,,,2026-03-30
Beldum,acero/psiquico,normal,normal,sombra,no,,96,132,120,38,45,40,coleccionable,hada/lucha/hielo,no,Metang,Metagross,pve,226,125,,2026-03-30
Metang,acero/psiquico,normal,normal,sombra,no,,138,176,155,52,53,49,coleccionable,hada/lucha/hielo,no,Metagross,Metagross,pve,226,100,,2026-03-30
Metagross,acero/psiquico,normal,normal,"mega,sombra",no,,257,228,190,79,77,70,pve,hada/lucha/hielo,no,,,,,,,2026-03-30
Regirock,roca,legendario,legendario,,no,,179,309,190,68,83,63,pvp_gl,bicho/fuego/volador,no,,,,,,,2026-03-30
Regice,hielo,legendario,legendario,,no,,179,309,190,68,83,63,pvp_gl,dragon/volador/planta,no,,,,,,,2026-03-30
Registeel,acero,legendario,legendario,,no,,143,285,190,62,73,57,pvp_gl,hada/hielo/roca,no,,,,,,,2026-03-30
Latias,dragon/psiquico,legendario,legendario,mega,no,,228,246,190,76,77,67,pve,dragon/lucha/veneno,no,,,,,,,2026-03-30
Latios,dragon/psiquico,legendario,legendario,"mega,sombra",no,,268,212,190,80,75,71,pve,dragon/lucha/veneno,no,,,,,,,2026-03-30
Kyogre,agua,legendario,legendario,"mega,primigenio",no,,270,228,205,83,83,75,pve,fuego/tierra/roca,no,,,,,,,2026-03-30
Groudon,tierra,legendario,legendario,"mega,primigenio",no,,270,228,205,83,83,75,pve,electrico/fuego/veneno,no,,,,,,,2026-03-30
Rayquaza,dragon/volador,legendario,legendario,mega,no,,284,170,213,81,71,71,pve,bicho/dragon/lucha,no,,,,,,,2026-03-30
Jirachi,acero/psiquico,singular,singular,,no,,210,210,225,74,75,64,pvp_gl,hada/lucha/hielo,no,,,,,,,2026-03-30
Deoxys,psiquico,singular,singular,,no,,345,115,137,72,45,67,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Turtwig,planta,normal,normal,sombra,no,,119,110,146,42,45,43,coleccionable,tierra/roca/agua,no,Grotle,Torterra,coleccionable,198,125,,2026-03-30
Grotle,planta,normal,normal,sombra,no,,157,143,181,55,52,52,coleccionable,tierra/roca/agua,no,Torterra,Torterra,coleccionable,198,100,,2026-03-30
Torterra,planta/tierra,normal,normal,sombra,no,,202,188,216,70,67,61,coleccionable,electrico/fuego/tierra,no,,,,,,,2026-03-30
Chimchar,fuego,normal,normal,,no,,113,86,127,37,41,40,coleccionable,bicho/planta/hielo,no,Monferno,Infernape,coleccionable,181,125,,2026-03-30
Monferno,fuego/lucha,normal,normal,,no,,158,105,162,50,46,49,coleccionable,bicho/siniestro/planta,no,Infernape,Infernape,coleccionable,181,100,,2026-03-30
Infernape,fuego/lucha,normal,normal,,no,,222,151,183,67,53,61,coleccionable,bicho/siniestro/planta,no,,,,,,,2026-03-30
Piplup,agua,normal,normal,,no,,112,102,142,40,44,41,coleccionable,fuego/tierra/roca,no,Prinplup,Empoleon,coleccionable,193,125,,2026-03-30
Prinplup,agua,normal,normal,,no,,150,139,162,52,50,50,coleccionable,fuego/tierra/roca,no,Empoleon,Empoleon,coleccionable,193,100,,2026-03-30
Empoleon,agua/acero,normal,normal,,no,,210,186,197,69,63,61,coleccionable,hada/fuego/tierra,no,,,,,,,2026-03-30
Starly,normal/volador,normal,normal,sombra,no,,101,58,120,33,37,36,coleccionable,bicho/lucha/planta,no,Staravia,Staraptor,coleccionable,188,125,,2026-03-30
Staravia,normal/volador,normal,normal,sombra,no,,142,94,146,45,44,45,coleccionable,bicho/lucha/planta,no,Staraptor,Staraptor,coleccionable,188,100,,2026-03-30
Staraptor,normal/volador,normal,normal,sombra,no,,234,140,198,70,55,63,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Bidoof,normal,normal,normal,sombra,no,,80,73,153,34,42,36,coleccionable,,no,Bibarel,Bibarel,coleccionable,156,50,,2026-03-30
Bibarel,normal/agua,normal,normal,sombra,no,,162,119,188,55,50,51,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Kricketot,bicho,normal,normal,,no,,45,74,114,24,38,30,coleccionable,siniestro/planta/psiquico,no,Kricketune,Kricketune,coleccionable,150,50,,2026-03-30
Kricketune,bicho,normal,normal,,no,,160,100,184,52,48,50,coleccionable,siniestro/planta/psiquico,no,,,,,,,2026-03-30
Shinx,electrico,normal,normal,sombra,no,,117,64,128,37,39,40,coleccionable,volador/agua,no,Luxio,Luxray,coleccionable,188,125,,2026-03-30
Luxio,electrico,normal,normal,sombra,no,,159,95,155,49,44,48,coleccionable,volador/agua,no,Luxray,Luxray,coleccionable,188,100,,2026-03-30
Luxray,electrico,normal,normal,sombra,no,,232,156,190,69,57,62,coleccionable,volador/agua,no,,,,,,,2026-03-30
Budew,planta/veneno,normal,bebe,bebe,sí,,91,109,120,35,42,38,coleccionable,hada/planta/tierra,no,Roselia,Roserade,coleccionable,190,125,Sinnoh Stone,2026-03-30
Roserade,planta/veneno,normal,normal,,no,,243,185,155,70,56,64,coleccionable,hada/planta/tierra,no,,,,,,,2026-03-30
Cranidos,roca,normal,normal,,no,,218,71,167,58,43,55,coleccionable,bicho/fuego/volador,no,Rampardos,Rampardos,pve,205,50,,2026-03-30
Rampardos,roca,normal,normal,,no,,295,109,219,79,56,70,pve,bicho/fuego/volador,no,,,,,,,2026-03-30
Shieldon,roca/acero,normal,normal,,no,,76,195,102,38,49,39,coleccionable,bicho/hada/fuego,no,Bastiodon,Bastiodon,coleccionable,162,50,,2026-03-30
Bastiodon,roca/acero,normal,normal,,no,,94,286,155,50,63,49,coleccionable,bicho/hada/fuego,no,,,,,,,2026-03-30
Burmy,bicho,normal,normal,,no,,53,83,120,27,39,31,coleccionable,siniestro/planta/psiquico,no,Wormadam/Mothim,Wormadam,coleccionable,156,50,,2026-03-30
Wormadam,bicho/planta,normal,normal,,no,,141,180,155,53,53,50,coleccionable,siniestro/planta/tierra,no,,,,,,,2026-03-30
Mothim,bicho/volador,normal,normal,,no,,185,98,172,55,47,52,coleccionable,bicho/siniestro/lucha,no,,,,,,,2026-03-30
Combee,bicho/volador,normal,normal,,no,,59,83,102,26,38,31,coleccionable,bicho/siniestro/lucha,no,Vespiquen,Vespiquen,coleccionable,164,50,,2026-03-30
Vespiquen,bicho/volador,normal,normal,,no,,149,190,172,56,56,52,coleccionable,bicho/siniestro/lucha,no,,,,,,,2026-03-30
Pachirisu,electrico,normal,normal,regional,no,Canadá / Norte de EEUU,94,172,155,44,52,43,coleccionable,volador/agua,no,,,,,,,2026-03-30
Buizel,agua,normal,normal,,no,,132,67,146,41,41,43,coleccionable,fuego/tierra/roca,no,Floatzel,Floatzel,coleccionable,175,50,,2026-03-30
Floatzel,agua,normal,normal,,no,,221,114,198,65,51,59,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Cherubi,planta,normal,normal,,no,,108,92,128,37,41,40,coleccionable,tierra/roca/agua,no,Cherrim,Cherrim,coleccionable,162,50,,2026-03-30
Cherrim,planta,normal,normal,,no,,170,153,172,57,52,53,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Shellos,agua,normal,normal,regional,no,Global (formas por región),103,105,183,43,48,43,coleccionable,fuego/tierra/roca,no,Gastrodon,Gastrodon,coleccionable,177,50,,2026-03-30
Gastrodon,agua/tierra,normal,normal,regional,no,Global (formas por región),169,143,244,63,58,56,coleccionable,electrico/fuego/tierra,no,,,,,,,2026-03-30
Ambipom,normal,normal,normal,sombra,no,,205,143,181,63,52,58,coleccionable,,no,,,,,,,2026-03-30
Drifloon,fantasma/volador,normal,normal,,no,,117,80,207,46,48,44,coleccionable,bicho/lucha/fantasma,no,Drifblim,Drifblim,coleccionable,188,50,,2026-03-30
Drifblim,fantasma/volador,normal,normal,,no,,180,102,312,68,61,59,coleccionable,bicho/lucha/fantasma,no,,,,,,,2026-03-30
Buneary,normal,normal,normal,,no,,130,105,146,44,44,44,coleccionable,,no,Lopunny,Lopunny,coleccionable,165,50,,2026-03-30
Lopunny,normal,normal,normal,mega,no,,156,194,163,57,55,53,coleccionable,,no,,,,,,,2026-03-30
Mismagius,fantasma,normal,normal,sombra,no,,211,187,155,65,54,59,coleccionable,fantasma/psiquico,no,,,,,,,2026-03-30
Honchkrow,siniestro/volador,normal,normal,sombra,no,,243,103,225,71,52,63,coleccionable,bicho/lucha/fantasma,no,,,,,,,2026-03-30
Glameow,normal,normal,normal,,no,,109,82,135,37,41,40,coleccionable,,no,Purugly,Purugly,coleccionable,159,50,,2026-03-30
Purugly,normal,normal,normal,,no,,172,133,174,56,50,53,coleccionable,,no,,,,,,,2026-03-30
Chingling,psiquico,normal,bebe,bebe,sí,,114,94,128,39,42,41,coleccionable,lucha/veneno,no,Chimecho,Chimecho,coleccionable,169,50,,2026-03-30
Stunky,veneno/siniestro,normal,normal,sombra,no,,121,90,160,43,44,43,coleccionable,hada/fantasma/planta,no,Skuntank,Skuntank,coleccionable,176,50,,2026-03-30
Skuntank,veneno/siniestro,normal,normal,sombra,no,,184,132,230,63,56,57,coleccionable,hada/fantasma/planta,no,,,,,,,2026-03-30
Bronzor,acero/psiquico,normal,normal,,no,,43,154,149,33,50,35,coleccionable,hada/lucha/hielo,no,Bronzong,Bronzong,coleccionable,172,50,,2026-03-30
Bronzong,acero/psiquico,normal,normal,,no,,161,213,167,60,57,55,coleccionable,hada/lucha/hielo,no,,,,,,,2026-03-30
Bonsly,roca,normal,bebe,bebe,sí,,124,133,137,44,47,44,coleccionable,bicho/fuego/volador,no,Sudowoodo,Sudowoodo,coleccionable,166,50,,2026-03-30
Mime Jr.,psiquico/hada,normal,bebe,"bebe,regional",sí,Europa,125,142,85,40,42,42,coleccionable,siniestro/dragon/lucha,no,Mr. Mime,Mr. Rime,coleccionable,189,100,,2026-03-30
Happiny,normal,normal,bebe,bebe,sí,,25,77,225,32,50,33,coleccionable,,no,Chansey,Blissey,pvp_gl,223,75,,2026-03-30
Chatot,normal/volador,normal,normal,regional,no,Hemisferio Sur,183,91,183,56,47,52,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Spiritomb,fantasma/siniestro,normal,normal,,no,,169,199,137,57,53,54,coleccionable,fantasma/psiquico,no,,,,,,,2026-03-30
Gible,dragon/tierra,normal,normal,,no,,124,84,151,42,43,43,coleccionable,dragon/electrico/fuego,no,Gabite,Garchomp,pve,237,125,,2026-03-30
Gabite,dragon/tierra,normal,normal,,no,,172,125,169,55,49,52,coleccionable,dragon/electrico/fuego,no,Garchomp,Garchomp,pve,237,100,,2026-03-30
Garchomp,dragon/tierra,normal,normal,mega,no,,261,193,239,82,82,73,pve,dragon/electrico/fuego,no,,,,,,,2026-03-30
Munchlax,normal,normal,bebe,bebe,sí,,137,117,286,60,60,53,coleccionable,,no,Snorlax,Snorlax,pvp_gl,223,50,,2026-03-30
Riolu,lucha,normal,bebe,bebe,sí,,127,78,120,39,39,41,coleccionable,siniestro/hielo/normal,no,Lucario,Lucario,coleccionable,179,50,,2026-03-30
Lucario,lucha/acero,normal,normal,mega,no,,236,144,172,67,51,61,coleccionable,siniestro/hada/hielo,no,,,,,,,2026-03-30
Hippopotas,tierra,normal,normal,sombra,no,,124,118,169,46,48,45,coleccionable,electrico/fuego/veneno,no,Hippowdon,Hippowdon,pvp_gl,207,50,,2026-03-30
Hippowdon,tierra,normal,normal,sombra,no,,201,191,239,72,72,63,pvp_gl,electrico/fuego/veneno,no,,,,,,,2026-03-30
Skorupi,veneno/bicho,normal,normal,sombra,no,,93,151,120,39,47,40,coleccionable,siniestro/hada/planta,no,Drapion,Drapion,coleccionable,178,50,,2026-03-30
Drapion,veneno/siniestro,normal,normal,sombra,no,,180,202,172,63,58,57,coleccionable,hada/fantasma/planta,no,,,,,,,2026-03-30
Croagunk,veneno/lucha,normal,normal,,no,,116,76,134,38,41,40,coleccionable,siniestro/hada/planta,no,Toxicroak,Toxicroak,coleccionable,176,50,,2026-03-30
Toxicroak,veneno/lucha,normal,normal,,no,,211,133,195,65,52,59,coleccionable,siniestro/hada/planta,no,,,,,,,2026-03-30
Carnivine,planta,normal,normal,regional,no,Sureste de EEUU,187,136,179,59,51,55,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Finneon,agua,normal,normal,,no,,96,116,135,38,44,40,coleccionable,fuego/tierra/roca,no,Lumineon,Lumineon,coleccionable,156,50,,2026-03-30
Lumineon,agua,normal,normal,,no,,142,170,170,53,53,50,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Mantyke,agua/volador,normal,bebe,bebe,sí,,105,179,128,44,50,44,coleccionable,bicho/lucha/fuego,no,Mantine,Mantine,coleccionable,169,50,,2026-03-30
Snover,planta/hielo,normal,normal,sombra,no,,115,105,155,42,45,43,coleccionable,dragon/volador/planta,no,Abomasnow,Abomasnow,coleccionable,174,50,,2026-03-30
Abomasnow,planta/hielo,normal,normal,"mega,sombra",no,,178,158,207,62,56,56,coleccionable,dragon/volador/planta,no,,,,,,,2026-03-30
Weavile,siniestro/hielo,normal,normal,sombra,no,,243,171,172,71,57,64,coleccionable,dragon/volador/fantasma,no,,,,,,,2026-03-30
Magnezone,electrico/acero,normal,normal,sombra,no,,238,205,172,73,64,65,coleccionable,hada/volador/hielo,no,,,,,,,2026-03-30
Lickilicky,normal,normal,normal,,no,,161,181,242,64,65,57,coleccionable,,no,,,,,,,2026-03-30
Rhyperior,tierra/roca,normal,normal,,no,,241,190,251,80,81,70,pve,bicho/electrico/fuego,no,,,,,,,2026-03-30
Tangrowth,planta,normal,normal,sombra,no,,207,184,225,71,68,63,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Electivire,electrico,normal,normal,sombra,no,,249,163,181,72,58,65,coleccionable,volador/agua,no,,,,,,,2026-03-30
Magmortar,fuego,normal,normal,sombra,no,,247,172,181,72,60,65,coleccionable,bicho/planta/hielo,no,,,,,,,2026-03-30
Togekiss,hada/volador,normal,normal,,no,,225,217,198,74,73,65,pvp_gl,bicho/siniestro/dragon,no,,,,,,,2026-03-30
Yanmega,bicho/volador,normal,normal,,no,,231,156,200,70,59,63,coleccionable,bicho/siniestro/lucha,no,,,,,,,2026-03-30
Leafeon,planta,normal,normal,,no,,216,219,163,69,63,62,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Glaceon,hielo,normal,normal,,no,,238,205,163,72,63,64,coleccionable,dragon/volador/planta,no,,,,,,,2026-03-30
Gliscor,tierra/volador,normal,normal,sombra,no,,185,222,181,66,64,59,coleccionable,bicho/electrico/lucha,no,,,,,,,2026-03-30
Mamoswine,hielo/tierra,normal,normal,sombra,no,,247,146,242,76,67,67,pve,dragon/electrico/fuego,no,,,,,,,2026-03-30
Porygon-Z,normal,normal,normal,sombra,no,,264,150,198,75,60,67,pve,,no,,,,,,,2026-03-30
Gallade,psiquico/lucha,normal,normal,"mega,sombra",no,,237,195,169,71,61,64,coleccionable,siniestro/lucha/hielo,no,,,,,,,2026-03-30
Probopass,roca/acero,normal,normal,sombra,no,,135,275,155,57,62,54,coleccionable,bicho/hada/fuego,no,,,,,,,2026-03-30
Dusknoir,fantasma,normal,normal,sombra,no,,180,254,128,62,57,57,coleccionable,fantasma/psiquico,no,,,,,,,2026-03-30
Froslass,hielo/fantasma,normal,normal,,no,,171,150,172,57,51,53,coleccionable,dragon/volador/fantasma,no,,,,,,,2026-03-30
Rotom,electrico/fantasma,normal,normal,,no,,185,159,137,56,49,54,coleccionable,volador/fantasma/psiquico,no,,,,,,,2026-03-30
Uxie,psiquico,legendario,legendario,regional,no,Asia-Pacífico,156,270,181,64,70,58,pvp_gl,lucha/veneno,no,,,,,,,2026-03-30
Mesprit,psiquico,legendario,legendario,regional,no,Europa/África,212,212,190,70,68,63,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Azelf,psiquico,legendario,legendario,regional,no,América,270,151,181,75,57,67,pve,lucha/veneno,no,,,,,,,2026-03-30
Dialga,acero/dragon,legendario,legendario,,no,,275,211,205,82,79,74,pve,dragon/hada/hielo,no,,,,,,,2026-03-30
Palkia,agua/dragon,legendario,legendario,,no,,280,215,189,82,77,73,pve,dragon/fuego/tierra,no,,,,,,,2026-03-30
Heatran,fuego/acero,legendario,legendario,,no,,251,213,209,79,78,70,pve,bicho/hada/planta,sí,,,,,,,2026-03-30
Regigigas,normal,legendario,legendario,,no,,287,210,221,86,82,78,pve,,no,,,,,,,2026-03-30
Giratina,fantasma/dragon,legendario,legendario,,no,,187,225,284,77,88,67,pve,dragon/fantasma/psiquico,no,,,,,,,2026-03-30
Cresselia,psiquico,legendario,legendario,,no,,152,258,260,70,84,60,pvp_gl,lucha/veneno,no,,,,,,,2026-03-30
Darkrai,siniestro,singular,singular,,no,,285,198,172,80,68,71,pve,fantasma/psiquico,no,,,,,,,2026-03-30
Shaymin,planta,singular,singular,,no,,210,210,225,74,75,64,pvp_gl,tierra/roca/agua,no,,,,,,,2026-03-30
Victini,psiquico/fuego,singular,singular,,no,,210,210,225,74,75,64,pvp_gl,bicho/lucha/planta,no,,,,,,,2026-03-30
Snivy,planta,normal,normal,,no,,88,107,128,35,43,38,coleccionable,tierra/roca/agua,no,Servine,Serperior,coleccionable,173,125,,2026-03-30
Servine,planta,normal,normal,,no,,122,152,155,47,50,46,coleccionable,tierra/roca/agua,no,Serperior,Serperior,coleccionable,173,100,,2026-03-30
Serperior,planta,normal,normal,,no,,161,204,181,60,58,55,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Tepig,fuego,normal,normal,,no,,115,85,163,42,44,42,coleccionable,bicho/planta/hielo,no,Pignite,Emboar,coleccionable,197,125,,2026-03-30
Pignite,fuego/lucha,normal,normal,,no,,173,106,207,57,51,53,coleccionable,bicho/siniestro/planta,no,Emboar,Emboar,coleccionable,197,100,,2026-03-30
Emboar,fuego/lucha,normal,normal,,no,,235,127,242,73,60,64,coleccionable,bicho/siniestro/planta,no,,,,,,,2026-03-30
Oshawott,agua,normal,normal,,no,,117,85,146,40,42,42,coleccionable,fuego/tierra/roca,no,Dewott,Samurott,coleccionable,191,125,,2026-03-30
Dewott,agua,normal,normal,,no,,159,116,181,53,49,50,coleccionable,fuego/tierra/roca,no,Samurott,Samurott,coleccionable,191,100,,2026-03-30
Samurott,agua,normal,normal,,no,,212,157,216,69,61,61,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Patrat,normal,normal,normal,sombra,no,,98,73,128,34,39,37,coleccionable,,no,Watchog,Watchog,coleccionable,153,50,,2026-03-30
Watchog,normal,normal,normal,sombra,no,,165,139,155,53,49,51,coleccionable,,no,,,,,,,2026-03-30
Lillipup,normal,normal,normal,,no,,107,86,128,36,41,39,coleccionable,,no,Herdier,Stoutland,coleccionable,191,125,,2026-03-30
Herdier,normal,normal,normal,,no,,145,126,163,50,48,48,coleccionable,,no,Stoutland,Stoutland,coleccionable,191,100,,2026-03-30
Stoutland,normal,normal,normal,,no,,206,182,198,68,62,61,coleccionable,,no,,,,,,,2026-03-30
Purrloin,siniestro,normal,normal,sombra,no,,98,73,121,33,39,37,coleccionable,fantasma/psiquico,no,Liepard,Liepard,coleccionable,154,50,,2026-03-30
Liepard,siniestro,normal,normal,sombra,no,,187,106,162,55,46,53,coleccionable,fantasma/psiquico,no,,,,,,,2026-03-30
Pansage,planta,normal,normal,,no,,104,94,137,37,42,40,coleccionable,tierra/roca/agua,no,Simisage,Simisage,coleccionable,170,50,Unova Stone,2026-03-30
Simisage,planta,normal,normal,,no,,206,133,181,62,51,57,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Pansear,fuego,normal,normal,,no,,104,94,137,37,42,40,coleccionable,bicho/planta/hielo,no,Simisear,Simisear,coleccionable,170,50,Unova Stone,2026-03-30
Simisear,fuego,normal,normal,,no,,206,133,181,62,51,57,coleccionable,bicho/planta/hielo,no,,,,,,,2026-03-30
Panpour,agua,normal,normal,,no,,104,94,137,37,42,40,coleccionable,fuego/tierra/roca,no,Simipour,Simipour,coleccionable,170,50,Unova Stone,2026-03-30
Simipour,agua,normal,normal,,no,,206,133,181,62,51,57,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Munna,psiquico,normal,normal,,no,,111,92,183,44,47,43,coleccionable,lucha/veneno,no,Musharna,Musharna,coleccionable,195,50,Unova Stone,2026-03-30
Musharna,psiquico,normal,normal,,no,,183,166,253,68,67,60,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Pidove,normal/volador,normal,normal,,no,,98,80,137,35,41,38,coleccionable,bicho/lucha/planta,no,Tranquill,Unfezant,coleccionable,183,62,,2026-03-30
Tranquill,normal/volador,normal,normal,,no,,144,107,158,48,46,47,coleccionable,bicho/lucha/planta,no,Unfezant,Unfezant,coleccionable,183,50,,2026-03-30
Unfezant,normal/volador,normal,normal,,no,,226,146,190,68,54,61,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Blitzle,electrico,normal,normal,,no,,118,64,128,37,39,40,coleccionable,volador/agua,no,Zebstrika,Zebstrika,coleccionable,172,50,,2026-03-30
Zebstrika,electrico,normal,normal,,no,,211,136,181,63,51,58,coleccionable,volador/agua,no,,,,,,,2026-03-30
Roggenrola,roca,normal,normal,,no,,121,110,146,43,45,43,coleccionable,bicho/fuego/volador,no,Boldore,Gigalith,coleccionable,205,250,,2026-03-30
Boldore,roca,normal,normal,,no,,174,143,172,57,51,53,coleccionable,bicho/fuego/volador,no,Gigalith,Gigalith,coleccionable,205,200,,2026-03-30
Gigalith,roca,normal,normal,,no,,226,201,198,73,68,64,coleccionable,bicho/fuego/volador,no,,,,,,,2026-03-30
Woobat,psiquico/volador,normal,normal,,no,,107,85,163,40,44,41,coleccionable,bicho/lucha/planta,no,Swoobat,Swoobat,coleccionable,150,50,,2026-03-30
Swoobat,psiquico/volador,normal,normal,,no,,161,119,167,52,48,50,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Drilbur,tierra,normal,normal,,no,,154,85,155,47,44,47,coleccionable,electrico/fuego/veneno,no,Excadrill,Excadrill,pve,206,50,,2026-03-30
Excadrill,tierra/acero,normal,normal,,no,,255,129,242,76,63,67,pve,electrico/hada/fuego,no,,,,,,,2026-03-30
Audino,normal,normal,normal,mega,no,,114,163,230,54,59,49,coleccionable,,no,,,,,,,2026-03-30
Timburr,lucha,normal,normal,,no,,134,87,181,46,46,45,coleccionable,siniestro/hielo/normal,no,Gurdurr,Conkeldurr,pve,210,250,,2026-03-30
Gurdurr,lucha,normal,normal,,no,,180,134,198,60,53,55,coleccionable,siniestro/hielo/normal,no,Conkeldurr,Conkeldurr,pve,210,200,,2026-03-30
Conkeldurr,lucha,normal,normal,,no,,243,158,233,76,68,66,pve,siniestro/hielo/normal,no,,,,,,,2026-03-30
Tympole,agua,normal,normal,,no,,98,78,137,35,41,38,coleccionable,fuego/tierra/roca,no,Palpitoad,Seismitoad,coleccionable,183,125,,2026-03-30
Palpitoad,agua/tierra,normal,normal,,no,,128,109,181,47,48,46,coleccionable,electrico/fuego/tierra,no,Seismitoad,Seismitoad,coleccionable,183,100,,2026-03-30
Seismitoad,agua/tierra,normal,normal,,no,,188,150,233,66,59,58,coleccionable,electrico/fuego/tierra,no,,,,,,,2026-03-30
Throh,lucha,normal,normal,regional,no,Europa / Asia / Pacífico,172,160,260,67,65,58,coleccionable,siniestro/hielo/normal,no,,,,,,,2026-03-30
Sawk,lucha,normal,normal,regional,no,América / África,231,153,181,68,54,62,coleccionable,siniestro/hielo/normal,no,,,,,,,2026-03-30
Sewaddle,bicho/planta,normal,normal,,no,,96,124,128,38,45,40,coleccionable,siniestro/planta/tierra,no,Swadloon,Leavanny,coleccionable,178,125,,2026-03-30
Swadloon,bicho/planta,normal,normal,,no,,115,162,146,46,50,45,coleccionable,siniestro/planta/tierra,no,Leavanny,Leavanny,coleccionable,178,100,,2026-03-30
Leavanny,bicho/planta,normal,normal,,no,,205,165,181,65,54,59,coleccionable,siniestro/planta/tierra,no,,,,,,,2026-03-30
Venipede,bicho/veneno,normal,normal,,no,,83,99,102,31,39,35,coleccionable,siniestro/hada/planta,no,Whirlipede,Scolipede,coleccionable,173,125,,2026-03-30
Whirlipede,bicho/veneno,normal,normal,,no,,100,173,120,42,48,42,coleccionable,siniestro/hada/planta,no,Scolipede,Scolipede,coleccionable,173,100,,2026-03-30
Scolipede,bicho/veneno,normal,normal,,no,,203,175,155,62,53,58,coleccionable,siniestro/hada/planta,no,,,,,,,2026-03-30
Cottonee,planta/hada,normal,normal,,no,,71,111,120,32,42,35,coleccionable,siniestro/dragon/lucha,no,Whimsicott,Whimsicott,coleccionable,162,50,Sun Stone,2026-03-30
Whimsicott,planta/hada,normal,normal,,no,,164,176,155,56,53,53,coleccionable,siniestro/dragon/lucha,no,,,,,,,2026-03-30
Petilil,planta,normal,normal,,no,,119,91,128,39,41,41,coleccionable,tierra/roca/agua,no,Lilligant,Lilligant,coleccionable,176,50,Sun Stone,2026-03-30
Lilligant,planta,normal,normal,,no,,214,155,172,65,52,59,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Basculin,agua,normal,normal,,no,,189,129,172,58,50,55,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Sandile,tierra/siniestro,normal,normal,,no,,132,69,137,40,40,42,coleccionable,electrico/fuego/fantasma,no,Krokorok,Krookodile,coleccionable,199,125,,2026-03-30
Krokorok,tierra/siniestro,normal,normal,,no,,155,90,155,48,44,47,coleccionable,electrico/fuego/fantasma,no,Krookodile,Krookodile,coleccionable,199,100,,2026-03-30
